土地區段位置或建物區門牌,lng,lat,cluster
臺北市大同區延平北路三段61號,121.5112,25.0657,1
臺北市大安區大安路二段160巷1號,121.5458,25.02887,3
臺北市中正區南昌路二段211號,121.5236,25.02492,3
臺北市中山區明水路541號,121.5518,25.07847,1
臺北市中山區錦西街1號,121.5221,25.0604,3
臺北市中山區中原街121號,121.5291,25.06321,3
臺北市中山區明水路581巷1號,121.551,25.08014,1
臺北市松山區光復南路1號,121.558,25.04792,3
臺北市中正區羅斯福路二段6巷1號,121.5207,25.02895,3
臺北市中山區遼寧街101巷1號,121.5422,25.04739,3
臺北市大安區大安路二段61號,121.5464,25.03086,3
臺北市中山區民生東路二段1號,121.5282,25.05815,3
臺北市信義區忠孝東路五段236巷57弄1號,121.572,25.0372,3
臺北市大安區信義路四段265巷31號,121.5544,25.03358,3
臺北市大安區建國南路一段181號,121.5378,25.04058,3
臺北市松山區敦化北路145巷1號,121.5509,25.05367,3
臺北市中山區樂群二路266巷91號,121.5618,25.07742,1
臺北市內湖區民權東路六段451號,121.6045,25.07195,2
臺北市中山區建國北路二段121號,121.5373,25.0597,3
臺北市萬華區莒光路166巷1號,121.4992,25.0309,4
臺北市士林區中山北路七段219巷1號,121.5336,25.12884,2
臺北市信義區信義路四段395巷6弄1號,121.5439,25.03362,3
臺北市大同區承德路二段151號,121.5184,25.05804,3
臺北市信義區吳興街91號,121.5609,25.03059,3
臺北市中山區吉林路218巷1號,121.5299,25.05902,3
臺北市信義區松隆路1號,121.5664,25.04357,3
臺北市大安區麗水街17巷1號,121.5293,25.02932,3
臺北市北投區崇仰三路1號,121.5149,25.12815,2
臺北市松山區三民路31號,121.5636,25.05513,1
臺北市中山區松江路235巷31號,121.5348,25.05894,3
臺北市士林區中庸五路1號,121.5539,25.12827,2
臺北市北投區公館路376巷2弄1號,121.5038,25.12324,4
臺北市中山區長安西路19巷1號,121.5211,25.0508,3
臺北市信義區仁愛路四段452巷1號,121.5589,25.03733,3
臺北市大安區忠孝東路三段251巷7弄1號,121.5418,25.04304,3
臺北市松山區八德路四段61號,121.5598,25.04854,3
臺北市大安區建國南路一段291巷1號,121.5385,25.03581,1
臺北市大同區民族西路211號,121.5142,25.06878,4
臺北市信義區忠孝東路五段71巷11弄1號,121.5686,25.04204,3
臺北市士林區幸福街5巷1號,121.5282,25.09663,1
臺北市松山區吉祥路1號,121.5628,25.04898,3
臺北市信義區基隆路一段147巷1號,121.5673,25.04246,3
臺北市中山區龍江路356巷31號,121.5395,25.06612,4
臺北市大安區市民大道四段31號,121.5447,25.04521,3
臺北市大同區延平北路三段91號,121.5111,25.06767,1
臺北市大安區復興南路二段125巷31號,121.5455,25.02923,3
